"index","artist","album","genre","type"
33,"Arcade Fire","The Suburbs","Rock","Download"
34,"Aretha Franklin","Greatest Hits (1980-1994)","Soul","CD"
35,"Arlo Guthrie","Alice's Restaurant","Folk","Vinyl"
36,"Arlo Guthrie","Running Down The Road","Folk","Vinyl"
37,"Armik","Gypsy Soul_ New Flamenco","Pop","CD"
38,"Armik","Serenata","Pop","Download"
39,"Asleep At the Wheel","Asleep At the Wheel (Live)","TexMex","Download"
40,"Asleep At the Wheel","The Very Best of Asleep At the Wheel (Re-Recorded Versions)","TexMex","Download"
41,"Assassin","Infiltration","Pop","Download"
42,"Average White Band","Person to Person (Live)","Rock","Download"
43,"Bachman-Turner Overdrive","Not Fragile","Rock","Vinyl"
44,"Bachman-Turner Overdrive","The Definitive Collection Bachman-Turner Overdrive","Rock","Download"
45,"Bad Company","In Concert - Merchants of Cool","Rock","Download"
46,"Badfinger","20 Best of Rockin' 70's (Original Artist Re-Recording)","Rock","Download"
47,"Badfinger","Brit Rock","Rock","Download"
48,"Badfinger","Classic Soft Rock","Rock","Download"
49,"Badfinger","No Matter What You Are (Re-Recorded Version)","Rock","Download"
50,"Badfinger","The Departed","Folk","CD"
51,"Barry McGuire","Eve Of Destruction","Folk","CD"
52,"Beady Eye","The Roller - Single","Pop","Download"
53,"Bee Gees","Best Of The BeeGees","Folk","Vinyl"
54,"Bee Gees","Main Course","Rock","Vinyl"
55,"Bee Gees","Mr. Natural","Rock","Vinyl"
56,"Bee Gees","Number Ones","Rock","Download"
57,"Ben E. King","The Very Best of Ben E. King","Rock","Download"
58,"Ben Harper","Rock 'N' Roll Is Free - Single","Rock","Download"
59,"Benedetti & Svoboda","Gypsy Soul_ New Flamenco","Pop","CD"
60,"Big Brother & the Holding Company_Janis Joplin","Janis Joplin's Greatest Hits [10 Tracks]","Rock","CD"
61,"Bill Haley & His Comets","20th Century Masters - The Millennium Collection_ Best of Bill Haley & His Comets","RockaBilly","Download"
62,"Bill Perry","Fire It Up","Rock","Download"
63,"Bill Withers","Bill Withers' Greatest Hits","Rock","Download"
64,"Billy Holliday","Best Of Billy Holliday","Jazz","Vinyl"
65,"Billy Joel","52nd Street","Rock","Vinyl"
66,"Billy Lee Riley","Red Hot","RockaBilly","Download"
67,"Bing Crosby","All-Time Christmas Favorites, Vol. 1","Holiday","Download"
68,"Blood Sweat & Tears","Blood Sweat & Tears 3","Rock","Vinyl"
69,"Blood Sweat & Tears","New Blood","Rock","Vinyl"
70,"Blood Sweat & Tears","No Sweat","Rock","Vinyl"
